Race,Working Hours,Education,Marital Status,Occupation,Industry,IsBusinessOwner,livesInCity,Medical Condition,Age,Job Begin Year,Sex
1,40,39,1,6355,770,1,1,0,29,2013,1
1,40,39,5,8740,3980,1,1,0,29,2012,2
4,25,34,4,7150,8770,2,1,0,68,2000,1
1,38,42,1,3645,8190,1,1,0,43,2012,2
1,40,39,1,4850,4070,1,1,0,44,1998,1
1,37,36,1,4020,8270,1,1,0,39,2014,2
1,40,43,6,2010,9480,1,1,0,37,2007,2
1,36,43,6,3255,8190,1,1,0,26,2011,2
1,40,42,1,160,6180,1,1,0,63,1997,1
1,3,43,1,3255,8180,1,1,4,59,2013,2
1,11,39,6,5550,6370,1,1,0,44,1984,2
1,50,43,1,1740,2070,1,1,0,57,2005,1
1,25,41,6,2720,7890,1,1,0,24,2013,1
1,35,39,4,4220,7860,1,2,0,57,2014,1
1,40,35,1,3600,8270,1,2,0,40,2005,2
1,55,42,4,1430,3390,1,1,0,50,2013,1
1,15,41,6,1050,7870,1,1,0,23,2010,1
1,40,39,6,6355,770,2,2,0,38,2013,1
1,20,44,6,8740,3990,1,1,19,54,2013,1
1,47,36,6,4020,8680,1,1,0,21,2014,1
1,10,43,1,2340,9160,1,1,0,33,2007,2
1,40,43,1,2040,9160,1,1,0,34,2007,1
1,30,39,1,5110,7970,1,1,0,59,2010,2
1,40,39,1,4710,8770,1,1,0,68,2001,1
1,60,44,6,2310,7860,1,1,0,51,1986,1
1,40,39,6,5300,8660,1,2,0,43,1996,2
1,40,39,1,8740,3570,1,2,0,47,2013,1
1,40,43,1,2550,9370,1,2,0,38,2013,2
1,16,44,1,3110,8090,2,1,0,51,2014,1
1,30,45,1,2330,7860,1,2,0,59,2013,2
1,2,43,1,10,7860,1,1,0,62,2007,2
1,37,39,6,110,7860,1,1,0,35,2004,1
1,69,44,1,10,9480,1,1,0,54,1992,1
1,10,43,1,310,8680,2,1,0,50,1996,2
1,65,36,3,5600,6170,1,1,0,73,1980,2
1,38,39,1,2200,7890,1,2,0,62,1996,2
1,40,34,1,430,770,2,2,0,63,1980,1
1,40,41,1,6210,770,1,1,0,55,1990,1
1,40,39,1,5400,6170,1,1,0,57,2000,2
1,40,34,1,8650,1180,1,1,0,50,2012,1
1,15,42,1,5120,770,2,1,0,45,2013,2
1,48,42,1,5620,4970,1,1,0,51,2014,1
1,40,39,6,4250,7770,2,1,0,19,2014,1
1,48,41,1,3800,9470,1,1,0,36,2006,1
1,16,41,1,3645,8190,1,1,0,33,2013,2
1,40,39,1,9130,770,1,2,0,62,2010,1
1,40,39,1,8140,770,1,2,0,50,2004,1
1,40,39,1,5160,6870,1,2,18,49,2006,2
1,35,43,6,4420,8560,1,1,0,61,2008,1
1,40,39,1,4350,290,2,2,0,53,2002,1
1,45,39,1,910,6870,1,2,0,51,1997,2
1,35,42,6,220,770,2,1,0,27,2012,1
1,55,43,6,1540,770,1,1,0,24,2014,1
1,40,39,1,6320,770,1,1,0,40,1998,1
1,40,39,1,5120,770,1,1,0,38,1998,2
2,30,39,1,3655,8270,1,1,0,62,2007,2
1,36,39,4,7750,2280,1,1,0,50,2010,2
1,55,39,5,4240,7690,1,1,0,31,2012,1
1,13,39,1,4220,7690,2,1,0,67,2001,2
1,12,39,1,230,7860,1,1,0,42,2010,2
1,65,43,1,430,6990,1,1,0,42,2010,1
1,12,37,6,4600,9290,2,1,0,17,2012,2
1,10,35,6,4600,9290,2,1,0,16,2013,2
1,10,31,6,2720,7890,1,1,0,15,2013,2
1,45,42,1,650,6380,1,1,0,59,1994,2
1,40,40,6,160,5580,1,1,0,27,2012,1
1,40,41,4,9130,4470,1,1,0,61,2013,1
1,24,41,6,2340,8090,1,1,0,20,2014,2
2,8,36,1,4740,9070,1,1,0,34,2010,2
2,50,36,1,8720,8870,1,1,0,36,2008,1
2,38,43,4,1106,7860,1,1,0,50,1983,2
2,10,40,6,4720,5275,1,1,0,18,2014,2
1,26,43,1,3255,8370,1,1,0,62,2012,1
1,15,41,1,4600,8470,2,1,0,58,2005,2
1,60,42,6,4000,8660,1,1,0,36,2005,1
2,4,44,1,2630,3680,1,1,0,39,2013,1
2,37,39,1,5700,7860,1,1,0,38,1996,2
1,69,42,1,430,7270,1,1,0,52,1999,2
1,40,43,1,7340,9170,1,1,0,46,2007,1
1,25,40,1,4920,7070,1,1,0,59,2005,2
1,60,42,1,7800,8680,1,1,0,59,1993,1
1,3,43,1,4620,8590,1,1,0,43,2005,2
1,40,44,1,740,3590,1,1,0,58,2001,1
1,15,43,1,50,7070,1,1,0,50,2014,2
1,30,41,4,3300,8190,1,1,13,63,2012,2
1,40,40,6,4200,7690,1,1,0,39,2013,1
1,40,41,6,3930,7680,1,1,0,25,2013,1
2,50,44,2,520,5275,2,1,0,48,2006,1
1,69,46,1,3060,7970,1,1,0,63,2002,1
1,40,39,1,3930,7680,1,1,0,34,2004,1
1,40,43,6,1530,6380,1,1,0,31,2013,1
1,40,43,6,726,9170,1,1,0,27,2013,2
2,69,37,1,8810,8770,1,1,0,34,2014,1
2,40,39,1,3600,8290,1,1,5,33,2011,2
1,30,40,5,2300,7860,1,1,0,45,2003,2
1,10,40,6,4600,8470,1,1,0,21,2014,2
1,36,42,1,3320,8190,1,1,0,59,2000,2
1,40,44,6,5250,9480,1,1,0,32,2010,1
1,40,43,1,1360,8380,1,1,0,30,2010,2
1,40,39,1,1006,7680,1,1,0,31,2004,2
1,10,43,1,430,6570,2,1,0,82,1990,1
1,5,44,1,4420,8560,1,1,0,75,1985,2
1,40,39,5,1920,2280,1,1,0,32,2012,2
1,40,41,6,7750,7580,1,1,0,55,2014,2
1,40,44,1,300,3380,1,1,0,64,2009,1
1,40,44,1,2630,7370,2,1,0,63,1980,2
1,50,44,1,5420,7870,1,1,0,31,2014,2
1,40,43,1,4920,7070,2,1,0,35,2012,1
1,27,41,4,4720,4870,1,1,30,41,2010,1
1,40,39,1,7700,1270,1,1,0,63,1980,1
1,50,43,6,2016,8380,1,1,0,38,2005,2
2,40,43,6,430,8590,1,1,0,59,1986,1
1,40,41,1,5000,8990,1,1,0,54,2014,2
1,40,42,1,6355,8190,1,1,0,59,1985,1
1,40,41,1,5240,8190,1,1,0,60,1997,2
2,20,36,5,4030,4970,1,1,0,52,2013,2
2,40,43,6,2440,6770,1,1,0,42,2014,1
1,30,35,6,6600,770,1,1,0,30,2013,1
1,40,39,1,350,8190,1,1,0,77,2013,1
1,40,43,1,110,8190,1,1,0,61,1983,1
1,40,46,1,350,7870,1,1,0,63,2004,2
1,25,41,6,4060,8570,1,1,0,22,2011,1
1,40,43,1,3255,8190,1,1,0,58,1980,2
1,40,41,1,5700,3580,1,1,0,74,2008,2
1,40,46,1,1020,3380,1,1,0,28,2013,1
1,40,43,4,2850,770,1,1,0,57,2011,1
1,45,44,6,1430,3390,1,1,0,74,1987,2
1,25,43,4,4350,9090,2,1,0,57,2013,2
1,40,44,1,3258,7870,1,1,0,64,1998,2
1,50,44,1,205,170,2,1,0,66,1980,1
1,20,43,4,5110,7690,2,1,0,52,2004,2
1,20,41,6,4110,8680,1,1,0,22,2014,2
3,40,46,1,2200,7870,1,1,0,64,1991,2
1,40,46,1,3060,8190,1,1,0,58,2000,1
1,60,43,6,1520,380,1,1,0,58,2010,2
1,40,43,1,4760,4670,1,1,0,47,2014,2
1,40,43,1,430,7790,1,1,0,42,1998,1
1,40,39,6,7750,3380,1,1,0,23,2012,2
1,34,37,1,3930,7680,1,1,0,76,2009,1
2,50,39,1,9620,2290,1,1,0,54,1987,1
2,35,39,1,4020,7860,1,1,0,51,1999,2
2,30,39,5,4250,7770,1,1,0,27,2014,1
4,15,39,6,4760,5170,1,1,3,38,2014,2
1,28,37,1,4210,7770,2,1,0,58,2010,2
1,32,41,3,4230,7860,1,1,10,55,2014,2
1,30,39,6,6420,770,2,1,0,53,2014,1
2,40,43,1,7220,6180,1,1,0,47,2012,1
2,40,39,1,9610,7690,1,1,0,38,2014,2
2,40,39,6,4200,7690,1,1,0,22,2014,1
1,40,44,1,4430,8590,1,1,0,30,2000,1
